院校名称,院校类型,是否是211,是否是985,是否有研究生院,院校隶属,所在地区,学校网址,特殊招生,学校排名,科学研究,星级,总分,人才培养,综合声誉,办学层次
北京大学,综合院校（本科）,211,985,研,教育部,北京,http://www.pku.edu.cn/,['自主招生、艺术特长生、高水平运动员'],1,100,6,100,100,100,中国顶尖大学
清华大学,工科院校（本科）,211,985,研,教育部,北京,http://www.tsinghua.edu.cn/,['自主招生、艺术特长生、高水平运动员'],2,98.71,6,97.8,96.61,99.26,中国顶尖大学
中国人民大学,综合院校（本科）,211,985,研,教育部,北京,http://www.ruc.edu.cn/,['自主招生、艺术特长生、高水平运动员'],7,74.99,6,78.71,81.16,83.38,中国顶尖大学
北京师范大学,师范院校（本科）,211,985,研,教育部,北京,http://www.bnu.edu.cn/,['自主招生、艺术特长生、高水平运动员'],11,74.66,5,74.35,74.34,73.11,中国一流大学
北京航空航天大学,工科院校（本科）,211,985,研,工业和信息化部,北京,http://www.buaa.edu.cn/,['自主招生、艺术特长生、高水平运动员'],21,72.08,5,70.65,69.37,70.38,中国一流大学
中国农业大学,农业院校（本科）,211,985,研,教育部,北京,http://www.cau.edu.cn/,['艺术特长生、高水平运动员'],26,67.36,5,68.46,68.99,70.64,中国一流大学
北京协和医学院,医药院校（本科）,211,985,研,卫生部,北京,http://www.pumc.edu.cn/,[''],31,68.23,5,67.58,66.67,68.87,中国一流大学
北京理工大学,工科院校（本科）,211,985,研,工业和信息化部,北京,http://www.bit.edu.cn/,['自主招生、艺术特长生、高水平运动员'],32,66.28,4,67.33,67.77,69.76,中国高水平大学
北京科技大学,工科院校（本科）,211,,研,教育部,北京,http://www.ustb.edu.cn/,['自主招生、艺术特长生、高水平运动员'],39,64.75,4,66.45,67.43,69.15,中国高水平大学
北京交通大学,工科院校（本科）,211,,研,教育部,北京,http://www.bjtu.edu.cn/,['自主招生、艺术特长生、高水平运动员'],46,64.11,4,65.44,65.76,69.48,中国高水平大学
中国石油大学,工科院校（本科）,211,,研,教育部,北京,http://www.cup.edu.cn/,['自主招生、高水平运动员'],54,63.43,4,65.1,65.8,68.87,中国高水平大学
北京化工大学,工科院校（本科）,211,,,教育部,北京,http://www.buct.edu.cn/,['自主招生、艺术特长生、高水平运动员'],63,63.86,4,64.57,64.71,66.9,中国高水平大学
北京林业大学,林业院校（本科）,211,,研,教育部,北京,http://www.bjfu.edu.cn/,['自主招生、艺术特长生、高水平运动员'],66,62.66,4,64.48,65.14,69.05,中国高水平大学
中国政法大学,政法院校（本科）,211,,,教育部,北京,http://www.cupl.edu.cn/,['自主招生、艺术特长生、高水平运动员'],67,61.76,5,64.35,65.48,70.04,中国一流大学
北京邮电大学,工科院校（本科）,211,,研,教育部,北京,http://www.bupt.edu.cn/,['自主招生、艺术特长生、高水平运动员'],69,63.55,4,64.26,64.36,66.74,中国高水平大学
北京工业大学,工科院校（本科）,211,,,北京市教育委员会,北京,http://www.bjut.edu.cn/,['自主招生、高水平运动员'],76,62.86,3,63.97,64.83,64.76,中国知名大学
首都医科大学,医药院校（本科）,,,,北京市教育委员会,北京,http://www.ccmu.edu.cn/,[''],79,64.1,4,63.93,64.52,60.66,中国高水平大学
中央民族大学,民族院校（本科）,211,985,,国家民族事务委员会,北京,http://www.muc.edu.cn/,['高水平运动员'],80,61.78,4,63.87,65.08,67.23,中国高水平大学
首都师范大学,师范院校（本科）,,,,北京市教育委员会,北京,http://www.cnu.edu.cn/,['高水平运动员'],86,62.44,3,63.47,65.06,60.82,中国知名大学
中央财经大学,财经院校（本科）,211,,,教育部,北京,http://www.cufe.edu.cn/,['自主招生、高水平运动员'],95,60.88,4,63.4,64.26,69.99,中国高水平大学
北京中医药大学,医药院校（本科）,211,,,教育部,北京,http://www.bucm.edu.cn/,['自主招生、艺术特长生、高水平运动员'],101,62.46,4,63.31,63.81,64.6,中国高水平大学
对外经济贸易大学,财经院校（本科）,211,,,教育部,北京,http://www.uibe.edu.cn/,['自主招生、艺术特长生、高水平运动员'],112,61.46,4,63.09,64.17,65.04,中国高水平大学
北京外国语大学,语言院校（本科）,211,,,教育部,北京,http://www.bfsu.edu.cn/,['高水平运动员'],128,60.73,5,62.77,64.16,65.04,中国一流大学
首都经济贸易大学,财经院校（本科）,,,,北京市教育委员会,北京,http://www.cueb.edu.cn/,['高水平运动员'],177,60.81,3,62.17,63.85,60.49,中国知名大学
北京语言大学,语言院校（本科）,,,,教育部,北京,http://www.blcu.edu.cn/,['自主招生'],202,60.74,4,61.98,63.5,60.49,中国高水平大学
北京工商大学,财经院校（本科）,,,,北京市教育委员会,北京,http://www.btbu.edu.cn/,[''],224,60.71,0,61.89,63.3,60.66,
北京建筑大学,工科院校（本科）,,,,北京市教育委员会,北京,http://www.bucea.edu.cn/,[''],276,60.66,0,61.7,63.07,60,
北方工业大学,工科院校（本科）,,,,北京市教育委员会,北京,http://www.ncut.edu.cn/,['高水平运动员'],329,60.26,0,61.55,63.08,60.16,
外交学院,语言院校（本科）,,,,教育部,北京,http://www.cfau.edu.cn/,[''],329,60.06,4,61.55,63.2,60.49,中国高水平大学
国际关系学院,政法院校（本科）,,,,教育部,北京,http://www.uir.cn/,[''],345,60.05,3,61.51,63.01,60.99,中国知名大学
北京信息科技大学,工科院校（本科）,,,,北京市教育委员会,北京,http://www.bistu.edu.cn/,[''],345,60.34,0,61.51,62.92,60.16,
北京联合大学,综合院校（本科）,,,,北京市教育委员会,北京,http://www.buu.edu.cn/,['高水平运动员'],349,60.25,0,61.5,62.96,60.33,
北京第二外国语学院,语言院校（本科）,,,,北京市教育委员会,北京,http://www.bisu.edu.cn/,[''],357,60.15,3,61.49,63.03,60.33,中国知名大学
北京农学院,农业院校（本科）,,,,北京市教育委员会,北京,http://www.bua.edu.cn/,[''],363,60.26,0,61.48,62.94,60.16,
北京服装学院,工科院校（本科）,,,,北京市教育委员会,北京,http://www.bift.edu.cn/,[''],376,60.11,0,61.45,62.98,60.33,
中国青年政治学院,政法院校（本科）,,,,中国共产主义青年团中央,北京,http://www.cyu.edu.cn/,[''],384,60.13,0,61.44,63.01,60,
北京印刷学院,工科院校（本科）,,,,北京市教育委员会,北京,http://www.bigc.edu.cn/,[''],406,60.08,0,61.42,62.97,60.16,
北京物资学院,财经院校（本科）,,,,北京市教育委员会,北京,http://www.bwu.edu.cn/,[''],414,60.09,0,61.4,62.93,60.16,
北京电子科技学院,工科院校（本科）,,,,中央办公厅,北京,http://www.besti.edu.cn/,[''],456,60,0,61.36,62.89,60.33,
北京石油化工学院,工科院校（本科）,,,,北京市教育委员会,北京,http://www.bipt.edu.cn/,['高水平运动员'],456,60.06,0,61.36,62.9,60,
首钢工学院,工科院校（本科）,,,,北京市教育委员会,北京,http://www.sgit.edu.cn/,[''],495,60,0,61.33,62.88,60,
中国劳动关系学院,财经院校（本科）,,,,中华全国总工会,北京,http://www.ciir.edu.cn/,[''],531,60.07,0,61.18,62.46,60.16,
中华女子学院,语言院校（本科）,,,,中华全国妇女联合会,北京,http://www.cwu.edu.cn/,[''],547,60.03,0,61.16,62.47,60.16,
首都体育学院,体育院校（本科）,,,,北京市教育委员会,北京,http://www.cipe.edu.cn/,[''],,,0,,,,
中国传媒大学,语言院校（本科）,211,,,教育部,北京,http://www.cuc.edu.cn/,['自主招生'],,,0,,,,
中国人民公安大学,政法院校（本科）,,,,公安部,北京,http://www.ppsuc.edu.cn/,[''],,,0,,,,
北京体育大学,体育院校（本科）,211,,,国家体育总局,北京,http://www.bsu.edu.cn/,[''],,,0,,,,
中央音乐学院,艺术院校（本科）,211,,,教育部,北京,http://www.ccom.edu.cn/,[''],,,0,,,,
中国音乐学院,艺术院校（本科）,,,,北京市教育委员会,北京,http://www.ccmusic.edu.cn/,[''],,,0,,,,
中央美术学院,艺术院校（本科）,,,,教育部,北京,http://www.cafa.edu.cn/,[''],,,0,,,,
中央戏剧学院,艺术院校（本科）,,,,教育部,北京,http://www.zhongxi.cn/,[''],,,0,,,,
中国戏曲学院,艺术院校（本科）,,,,北京市教育委员会,北京,http://www.nacta.edu.cn/,[''],,,0,,,,
北京电影学院,艺术院校（本科）,,,,北京市教育委员会,北京,http://www.bfa.edu.cn/,[''],,,0,,,,
北京舞蹈学院,艺术院校（本科）,,,,北京市教育委员会,北京,http://www.bda.edu.cn/,[''],,,0,,,,
北京工业职业技术学院,工科院校（专科）,,,,北京市教育委员会,北京,http://www.bgy.org.cn/,[''],,,0,,,,
北京信息职业技术学院,工科院校（专科）,,,,北京市教育委员会,北京,http://www.bitc.edu.cn/,[''],,,0,,,,
北京电子科技职业学院,工科院校（专科）,,,,北京市教育委员会,北京,http://www.dky.bjedu.cn/,[''],,,0,,,,
北京科技大学延庆分校,工科院校（专科）,,,,北京市教育委员会,北京,http://www.ustbyq.com/,[''],,,0,,,,
北京京北职业技术学院,工科院校（专科）,,,,北京市教育委员会,北京,http://www.jbzy.com.cn/,[''],,,0,,,,
北京交通职业技术学院,工科院校（专科）,,,,北京市教育委员会,北京,http://www.jtxy.com.cn/,[''],,,0,,,,
首都经济贸易大学密云分校,财经院校（专科）,,,,北京市教育委员会,北京,http://www.jmdx-myfx.com/,[''],,,0,,,,
北京工业大学通州分校,工科院校（专科）,,,,北京市教育委员会,北京,http://www.pcbjut.net/,[''],,,0,,,,
北京城市学院,综合院校（本科）,,,,北京市教育委员会,北京,http://www.bcu.edu.cn/,[''],,,0,,,,
北京青年政治学院,语言院校（专科）,,,,北京市教育委员会,北京,http://www.bjypc.edu.cn/,[''],,,0,,,,
