院校名称,是否是211,是否是985,是否有研究生院,院校隶属,所在地区,学校排名,科学研究,星级,总分,人才培养,综合声誉,办学层次,自主招生,艺术特长生,高水平运动员,学历,类型,经度,纬度
北京大学,211.0,985.0,研,教育部,北京,1.0,100.0,6,100.0,100.0,100.0,中国顶尖大学,1.0,1.0,1.0,本科,综合,116.31683256328296,39.99887680537622
清华大学,211.0,985.0,研,教育部,北京,2.0,98.71,6,97.8,96.61,99.26,中国顶尖大学,1.0,1.0,1.0,本科,工科,116.33337396094367,40.009645090734296
中国人民大学,211.0,985.0,研,教育部,北京,7.0,74.99,6,78.71,81.16,83.38,中国顶尖大学,1.0,1.0,1.0,本科,综合,116.31976876467287,39.97654610615823
北京师范大学,211.0,985.0,研,教育部,北京,11.0,74.66,5,74.35,74.34,73.11,中国一流大学,1.0,1.0,1.0,本科,师范,116.37214096404064,39.96734505008757
北京航空航天大学,211.0,985.0,研,工业和信息化部,北京,21.0,72.08,5,70.65,69.37,70.38,中国一流大学,1.0,1.0,1.0,本科,工科,116.35379208586329,39.98765978892555
中国农业大学,211.0,985.0,研,教育部,北京,26.0,67.36,5,68.46,68.99,70.64,中国一流大学,,1.0,1.0,本科,农业,116.36415448907363,40.010185290656025
北京协和医学院,211.0,985.0,研,卫生部,北京,31.0,68.23,5,67.58,66.67,68.87,中国一流大学,,,,本科,医药,116.42123704321352,39.91733807474174
北京理工大学,211.0,985.0,研,工业和信息化部,北京,32.0,66.28,4,67.33,67.77,69.76,中国高水平大学,1.0,1.0,1.0,本科,工科,116.32272625590338,39.96665907314033
北京科技大学,211.0,,研,教育部,北京,39.0,64.75,4,66.45,67.43,69.15,中国高水平大学,1.0,1.0,1.0,本科,工科,116.36594202720794,39.99616508587843
北京交通大学,211.0,,研,教育部,北京,46.0,64.11,4,65.44,65.76,69.48,中国高水平大学,1.0,1.0,1.0,本科,工科,116.34974000936887,39.95790209644226
中国石油大学,211.0,,研,教育部,北京,54.0,63.43,4,65.1,65.8,68.87,中国高水平大学,1.0,,1.0,本科,工科,116.25050896070081,40.2135248218513
北京化工大学,211.0,,,教育部,北京,63.0,63.86,4,64.57,64.71,66.9,中国高水平大学,1.0,1.0,1.0,本科,工科,116.42767403100638,39.97796768275494
北京林业大学,211.0,,研,教育部,北京,66.0,62.66,4,64.48,65.14,69.05,中国高水平大学,1.0,1.0,1.0,本科,林业,116.35145999492883,40.00819005255402
中国政法大学,211.0,,,教育部,北京,67.0,61.76,5,64.35,65.48,70.04,中国一流大学,1.0,1.0,1.0,本科,政法,116.25444299985122,40.230445020695456
北京邮电大学,211.0,,研,教育部,北京,69.0,63.55,4,64.26,64.36,66.74,中国高水平大学,1.0,1.0,1.0,本科,工科,116.36459447911241,39.96725000633573
北京工业大学,211.0,,,北京市教育委员会,北京,76.0,62.86,3,63.97,64.83,64.76,中国知名大学,1.0,,1.0,本科,工科,116.48815658167098,39.881251063643404
首都医科大学,,,,北京市教育委员会,北京,79.0,64.1,4,63.93,64.52,60.66,中国高水平大学,,,,本科,医药,116.35973698189775,39.87084705290569
中央民族大学,211.0,985.0,,国家民族事务委员会,北京,80.0,61.78,4,63.87,65.08,67.23,中国高水平大学,,,1.0,本科,民族,116.3271264257829,39.95662410464323
首都师范大学,,,,北京市教育委员会,北京,86.0,62.44,3,63.47,65.06,60.82,中国知名大学,,,1.0,本科,师范,116.31206804068859,39.93621210339255
中央财经大学,211.0,,,教育部,北京,95.0,60.88,4,63.4,64.26,69.99,中国高水平大学,1.0,,1.0,本科,财经,116.28831450741045,40.17779669403107
北京中医药大学,211.0,,,教育部,北京,101.0,62.46,4,63.31,63.81,64.6,中国高水平大学,1.0,1.0,1.0,本科,医药,116.43885425155301,39.87018508989895
对外经济贸易大学,211.0,,,教育部,北京,112.0,61.46,4,63.09,64.17,65.04,中国高水平大学,1.0,1.0,1.0,本科,财经,116.43434107484033,39.98649064259156
北京外国语大学,211.0,,,教育部,北京,128.0,60.73,5,62.77,64.16,65.04,中国一流大学,,,1.0,本科,语言,116.31953592388469,39.9614893459579
首都经济贸易大学,,,,北京市教育委员会,北京,177.0,60.81,3,62.17,63.85,60.49,中国知名大学,,,1.0,本科,财经,116.32356275799425,39.84759959400033
北京语言大学,,,,教育部,北京,202.0,60.74,4,61.98,63.5,60.49,中国高水平大学,1.0,,,本科,语言,116.35293348545684,40.00064163095547
北京工商大学,,,,北京市教育委员会,北京,224.0,60.71,0,61.89,63.3,60.66,,,,,本科,财经,116.32537904190488,39.93150487678948
北京建筑大学,,,,北京市教育委员会,北京,276.0,60.66,0,61.7,63.07,60.0,,,,,本科,工科,116.34796917971704,39.94068479354159
北方工业大学,,,,北京市教育委员会,北京,329.0,60.26,0,61.55,63.08,60.16,,,,1.0,本科,工科,116.21485000483783,39.933738059633406
外交学院,,,,教育部,北京,329.0,60.06,4,61.55,63.2,60.49,中国高水平大学,,,,本科,语言,116.28716198144113,40.16021707192172
国际关系学院,,,,教育部,北京,345.0,60.05,3,61.51,63.01,60.99,中国知名大学,,,,本科,政法,116.29275195696862,40.01014405048145
北京信息科技大学,,,,北京市教育委员会,北京,345.0,60.34,0,61.51,62.92,60.16,,,,,本科,工科,116.35276065147673,40.044175642258516
