院校名称,是否是211,是否是985,是否有研究生院,院校隶属,所在地区,学校排名,科学研究,星级,总分,人才培养,综合声誉,办学层次,自主招生,艺术特长生,高水平运动员,学历,类型,经度,纬度
北京大学,1.0,1.0,1.0,0.31,0.03,0.001,1.0,0.6,1.0,1.0,1.0,0.3,1.0,1.0,1.0,0.2,0.1,0.11631683256328296,0.3999887680537622
清华大学,1.0,1.0,1.0,0.31,0.03,0.002,0.9871,0.6,0.978,0.9661,0.9926,0.3,1.0,1.0,1.0,0.2,0.05,0.11633337396094368,0.40009645090734297
中国人民大学,1.0,1.0,1.0,0.31,0.03,0.007,0.7498999999999999,0.6,0.7870999999999999,0.8116,0.8338,0.3,1.0,1.0,1.0,0.2,0.1,0.11631976876467288,0.39976546106158234
北京师范大学,1.0,1.0,1.0,0.31,0.03,0.011,0.7465999999999999,0.5,0.7434999999999999,0.7434000000000001,0.7311,0.1,1.0,1.0,1.0,0.2,0.06,0.11637214096404064,0.3996734505008757
北京航空航天大学,1.0,1.0,1.0,0.27,0.03,0.021,0.7208,0.5,0.7065,0.6937000000000001,0.7038,0.1,1.0,1.0,1.0,0.2,0.05,0.11635379208586327,0.3998765978892555
中国农业大学,1.0,1.0,1.0,0.31,0.03,0.026,0.6736,0.5,0.6846,0.6899,0.7064,0.1,-1.0,1.0,1.0,0.2,0.03,0.11636415448907364,0.40010185290656025
北京协和医学院,1.0,1.0,1.0,0.13,0.03,0.031,0.6823,0.5,0.6758,0.6667000000000001,0.6887000000000001,0.1,-1.0,-1.0,-1.0,0.2,0.04,0.11642123704321353,0.39917338074741743
北京理工大学,1.0,1.0,1.0,0.27,0.03,0.032,0.6628000000000001,0.4,0.6733,0.6777,0.6976,0.4,1.0,1.0,1.0,0.2,0.05,0.11632272625590337,0.39966659073140326
北京科技大学,1.0,0.0,1.0,0.31,0.03,0.039,0.6475,0.4,0.6645,0.6743000000000001,0.6915,0.4,1.0,1.0,1.0,0.2,0.05,0.11636594202720793,0.3999616508587843
北京交通大学,1.0,0.0,1.0,0.31,0.03,0.046,0.6411,0.4,0.6544,0.6576000000000001,0.6948000000000001,0.4,1.0,1.0,1.0,0.2,0.05,0.11634974000936889,0.3995790209644226
中国石油大学,1.0,0.0,1.0,0.31,0.03,0.054,0.6343,0.4,0.6509999999999999,0.6579999999999999,0.6887000000000001,0.4,1.0,-1.0,1.0,0.2,0.05,0.1162505089607008,0.402135248218513
北京化工大学,1.0,0.0,0.0,0.31,0.03,0.063,0.6386,0.4,0.6456999999999999,0.6470999999999999,0.669,0.4,1.0,1.0,1.0,0.2,0.05,0.11642767403100637,0.3997796768275494
北京林业大学,1.0,0.0,1.0,0.31,0.03,0.066,0.6265999999999999,0.4,0.6448,0.6514,0.6905,0.4,1.0,1.0,1.0,0.2,0.08,0.11635145999492885,0.4000819005255402
