大学名称,大学详情页链接
北京大学,https://daxue.911cha.com/1.html
清华大学,https://daxue.911cha.com/2.html
中国人民大学,https://daxue.911cha.com/3.html
北京师范大学,https://daxue.911cha.com/24.html
北京航空航天大学,https://daxue.911cha.com/6.html
中国农业大学,https://daxue.911cha.com/18.html
北京协和医学院,https://daxue.911cha.com/21.html
北京理工大学,https://daxue.911cha.com/7.html
北京科技大学,https://daxue.911cha.com/8.html
北京交通大学,https://daxue.911cha.com/4.html
中国石油大学,https://daxue.911cha.com/765.html
北京化工大学,https://daxue.911cha.com/10.html
北京林业大学,https://daxue.911cha.com/20.html
中国政法大学,https://daxue.911cha.com/47.html
北京邮电大学,https://daxue.911cha.com/13.html
北京工业大学,https://daxue.911cha.com/5.html
首都医科大学,https://daxue.911cha.com/22.html
中央民族大学,https://daxue.911cha.com/46.html
首都师范大学,https://daxue.911cha.com/25.html
中央财经大学,https://daxue.911cha.com/31.html
北京中医药大学,https://daxue.911cha.com/23.html
对外经济贸易大学,https://daxue.911cha.com/32.html
北京外国语大学,https://daxue.911cha.com/27.html
首都经济贸易大学,https://daxue.911cha.com/34.html
北京语言大学,https://daxue.911cha.com/29.html
北京工商大学,https://daxue.911cha.com/11.html
北京建筑大学,https://daxue.911cha.com/15.html
北方工业大学,https://daxue.911cha.com/9.html
外交学院,https://daxue.911cha.com/35.html
国际关系学院,https://daxue.911cha.com/37.html
北京信息科技大学,https://daxue.911cha.com/719.html
北京联合大学,https://daxue.911cha.com/766.html
北京第二外国语学院,https://daxue.911cha.com/28.html
北京农学院,https://daxue.911cha.com/19.html
北京服装学院,https://daxue.911cha.com/12.html
中国青年政治学院,https://daxue.911cha.com/825.html
北京印刷学院,https://daxue.911cha.com/14.html
北京物资学院,https://daxue.911cha.com/33.html
北京电子科技学院,https://daxue.911cha.com/17.html
北京石油化工学院,https://daxue.911cha.com/16.html
首钢工学院,https://daxue.911cha.com/881.html
中国劳动关系学院,https://daxue.911cha.com/1006.html
中华女子学院,https://daxue.911cha.com/717.html
首都体育学院,https://daxue.911cha.com/26.html
中国传媒大学,https://daxue.911cha.com/30.html
中国人民公安大学,https://daxue.911cha.com/36.html
北京体育大学,https://daxue.911cha.com/38.html
中央音乐学院,https://daxue.911cha.com/39.html
中国音乐学院,https://daxue.911cha.com/40.html
中央美术学院,https://daxue.911cha.com/41.html
中央戏剧学院,https://daxue.911cha.com/42.html
中国戏曲学院,https://daxue.911cha.com/43.html
北京电影学院,https://daxue.911cha.com/44.html
北京舞蹈学院,https://daxue.911cha.com/45.html
北京工业职业技术学院,https://daxue.911cha.com/622.html
北京信息职业技术学院,https://daxue.911cha.com/624.html
北京电子科技职业学院,https://daxue.911cha.com/625.html
北京科技大学延庆分校,https://daxue.911cha.com/701.html
北京京北职业技术学院,https://daxue.911cha.com/702.html
北京交通职业技术学院,https://daxue.911cha.com/703.html
首都经济贸易大学密云分校,https://daxue.911cha.com/704.html
北京工业大学通州分校,https://daxue.911cha.com/705.html
北京城市学院,https://daxue.911cha.com/767.html
北京青年政治学院,https://daxue.911cha.com/826.html
北京农业职业学院,https://daxue.911cha.com/1003.html
北京经济管理职业学院,https://daxue.911cha.com/1004.html
北京政法职业学院,https://daxue.911cha.com/1005.html
北京财贸职业学院,https://daxue.911cha.com/1030.html
北京北大方正软件职业技术学院,https://daxue.911cha.com/1032.html
北京经贸职业学院,https://daxue.911cha.com/1033.html
北京经济技术职业学院,https://daxue.911cha.com/1034.html
北京戏曲艺术职业学院,https://daxue.911cha.com/1035.html
北京汇佳职业学院,https://daxue.911cha.com/1036.html
北京现代职业技术学院,https://daxue.911cha.com/1037.html
北京科技经营管理学院,https://daxue.911cha.com/1144.html
北京吉利大学,https://daxue.911cha.com/1210.html
首都师范大学科德学院,https://daxue.911cha.com/1721.html
北京工商大学嘉华学院,https://daxue.911cha.com/1722.html
北京科技职业学院,https://daxue.911cha.com/1790.html
北京培黎职业学院,https://daxue.911cha.com/1810.html
南开大学,https://daxue.911cha.com/48.html
天津大学,https://daxue.911cha.com/49.html
河北工业大学,https://daxue.911cha.com/70.html
天津医科大学,https://daxue.911cha.com/55.html
天津师范大学,https://daxue.911cha.com/57.html
天津中医药大学,https://daxue.911cha.com/56.html
天津工业大学,https://daxue.911cha.com/51.html
天津财经大学,https://daxue.911cha.com/61.html
天津科技大学,https://daxue.911cha.com/50.html
中国民航大学,https://daxue.911cha.com/52.html
天津理工大学,https://daxue.911cha.com/53.html
天津商业大学,https://daxue.911cha.com/60.html
天津城建大学,https://daxue.911cha.com/589.html
天津外国语大学,https://daxue.911cha.com/59.html
天津职业技术师范大学,https://daxue.911cha.com/58.html
天津农学院,https://daxue.911cha.com/54.html
天津体育学院,https://daxue.911cha.com/62.html
天津音乐学院,https://daxue.911cha.com/63.html
天津美术学院,https://daxue.911cha.com/64.html
天津天狮学院,https://daxue.911cha.com/626.html
天津职业大学,https://daxue.911cha.com/668.html
天津中德职业技术学院,https://daxue.911cha.com/932.html
天津滨海职业学院,https://daxue.911cha.com/1008.html
